"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"HONDAPOWER.NS","HONDA INDIA POWER","43198042","68.198","85.5025","65.7","77.417","51.33333","74.81928","75.4332","72.35825",""
"HSCL.NS","Himadri Speciality Chemical Ltd","1432382659","65.841","99.8","74.45","72.35","50.44444","50","96.66532","67.17539",""
"IBREALEST.NS","Indiabulls Real Estate Ltd","740290923","60.05","80.2555","76.3","63.185","51.33333","3.429405","1.50993","54.62799",""
"ICICIBANK.NS","ICICI BANK","18160281687","61.069","89.9909","60.65","51.296","53.55556","59.575845","99.19738","53.64147",""
"ICRA.NS","ICRA LTD","88431299","61.704","89.0707","17.2","54.65","50.88889","79.0418","100","62.03422",""
"IFBAGRO.NS","IFB Agro Industries Limited","2290239","50.729","70.6093","16.9","80.638","45.33333","24.686395","6.74945","84.2429",""
"IFCI.NS","IFCI Ltd","786813359","61.669","99.8","77.35","69.472","44.44444","11.23845","0.35718","62.73689",""
"IFGLEXPOR.NS","IFGL EXPORTS LTD","5542555","58.546","92.0767","45.35","71.81","46.88889","0","2.82107","50.87185",""
"IGL.NS","INDRAPRASTHA GAS","1371931072","47.116","68.7408","13.8","40.212","52.56125","3.808405","4.62579","57.4922",""
"IGPL.NS","IG PETROCHEMICAL","25895824","51.262","74.411","41.3","66.044","46.22222","12.66087","0","56.18045",""
"IIFL.NS","IIFL Finance Limited","1975761319","51.591","68.4679","82","64.091","47.55556","35.57192","11.20052","58.96289",""
"IMFA.NS","INDIAN METALS & FE","105101073","61.768","99.8","45.7","76.508","47.33333","62.33387","72.63467","65.73015",""
"IMPAL.NS","India Motor Parts & Accessories Limited","6512867","49.732","90.2597","53.05","74.628","49.33333","50","19.63418","61.21745",""
"INDIACEM.NS","India Cements Ltd","382250663","47.511","85.0332","-7.95","70.299","47.77778","35.422945","37.50755","70.75622",""
"INDIAGLYCO.NS","India Glycols Limited","351327116","62.682","91.9568","78.8","73.22","45.11111","50","74.052","75.63341",""
"INDIANB.NS","INDIAN BANK","963639034","51.893","91.9398","71.1","57.126","50.22222","50","41.0012","51.8594",""
"INDIANCARD.NS","Indian Card Clothing Co Ltd","1226749","54.059","75.7194","25.55","66.04","47.33333","0","0.80489","62.96203",""
"INDIGO.NS","InterGlobe Aviation Limited","5081762792","50.52","96.4573","57.6","45.134","56.44444","35.483505","22.4952","46.47471",""
"INDNIPPON.NS","INDIA NIPPON ELECT","11854015","57.546","91.5393","49.95","71.413","47.55556","5.637185","0","53.63929",""
"INDOWIND.NS","Indowind Energy Ltd","5565652","46.534","87.6947","52.2","53.931","42.88889","30.172815","0","49.36946",""
"INDUSINDBK.NS","IndusInd Bank Limited","5975031132","49.526","62.2494","65.25","32.437","51.77778","3.11877","2.45361","38.75256",""
"INDUSTOWER.NS","INDUS TOWERS LIMITED","4049241602","56.281","85.8469","51.65","60.113","49.44321","2.80566","0","52.52225",""
"INFOBEAN.NS","InfoBeans Techno. Ltd.","12365528","54.964","61.3292","82.35","64.91","46.22222","19.485495","12.85788","56.05217",""
"INFY.NS","Infosys Limited","11240359045","46.146","77.4209","26.7","55.88","49.33333","48.676425","46.43504","64.60454",""
"INGERRAND.NS","INGERSOLL RAND","65867572","58.638","99.8","8.4","67.247","48.44444","81.54628","78.21251","45.26665",""
"INSECTICID.NS","INSECTICIDES INDIA","45859563","41.083","78.1582","17.2","62.771","47.33333","45.413245","8.10704","64.83782",""
"INTELLECT.NS","INTELLECT DESIGN A","316534698","62.306","89.7449","65.65","78.026","50","0","0.71649","52.00294",""
