"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"CSS.BK","Communication and System Solution PCL","769297","34.5","56.563","62.7714","73.281","33.63763","100","100","69.91104","56.563","0.97","0.93","-4.12",""
"TEAMG.BK","TEAM CONSULTING ENGINEERING AND MANAGEMENT PCL","172963","2.8","56.548","62.0487","69.527","38.0693","100","100","73.68846","56.548","4.6","4.64","0.87",""
"ONEE.BK","THE ONE ENTERPRISE PCL","1316935","23.9","56.515","62.3272","64.918","42.30096","100","100","63.4182","56.515","3.72","4.1","10.22",""
"LHSC.BK","LH SHOPPING CENTERS LEASEHOLD REIT","37370","22.7","56.487","72.8287","64.588","32.04455","100","100","61.62866","56.487","10.8","10.9","0.93",""
"W.BK","WOW FACTOR PCL","503712","-14.4","56.483","56.365","82.878","30.2064","50","29.45306","43.59268","56.483","0.58","0.6","3.45",""
"PRM.BK","PRIMA MARINE PCL","1502746045","6.95","56.466","81.913","44.34","43.14411","91.323035","97.88184","41.38575","56.466","8.4","8.3","-1.19",""
"ROCK.BK","Rockworth PCL","185896","84.85","56.44","72.5444","57.716","39.05989","49.46458","3.10396","70.37728","56.44","10.5","10.4","-0.95",""
"PK.BK","Patkol PCL","555489189","48.35","56.401","61.6144","68.616","38.97285","71.86059","96.61881","84.35746","56.401","0.81","0.8","-1.23",""
"MOONG.BK","Moong Pattana International PCL","14752787","19.3","56.349","69.5586","65.83","33.65851","100","99.30837","56.54297","56.349","2.18","2.18","0",""
"AS.BK","ASIASOFT CORPORATION PCL","783372","100","56.336","53.9918","79.58","35.43719","89.428255","94.01742","71.37026","56.336","4.7","4.98","5.96",""
"SVT.BK","SUN VENDING TECHNOLOGY PCL","5583643","43.25","56.283","58.1457","73.309","37.39534","100","100","78.43462","56.283","1.8","1.83","1.67",""
"TMT.BK","TMT STEEL PCL","362721017","-14.15","56.259","46.6503","94.828","27.29814","50","23.40151","71.16227","56.259","4.86","4.68","-3.7",""
"JCKH.BK","JCK HOSPITALITY PCL","2485164","71.5","56.248","79.549","71.8","17.3963","50","21.48159","49.06549","56.248","0.02","0.02","0",""
"GRAMMY.BK","GMM Grammy PCL","47101330","-9.7","56.24","72.2065","60.113","36.39944","85.918175","100","85.26307","56.24","8.5","8.4","-1.18",""
"BBGI.BK","BBGI PCL","1141970","2.85","56.198","75.1884","48.234","45.17294","88.23748","100","57.98694","56.198","6.8","6.7","-1.47",""
"WFX.BK","WORLD FLEX PCL","7876248","74.7","56.041","47.5026","88.122","32.49741","83.62066","90.82938","80.30279","56.041","1.34","1.39","3.73",""
"FN.BK","FN Factory Outlet PCL","1204678","37","56.034","62.6873","75.803","29.61281","71.22486","100","77.71956","56.034","1.26","1.2","-4.76",""
"PROUD.BK","PROUD REAL ESTATE PCL","4199075","30.25","56.024","63.2376","62.04","42.79485","50","25.24291","27.11372","56.024","1.42","1.39","-2.11",""
"STANLY.BK","THAI STANLEY ELECTRIC PCL","770284","5.8","55.957","72.0267","54.04","41.80552","69.76354","100","38.38641","55.957","220","218","-0.91",""
"PATO.BK","Pato Chemical Industry PCL","348112146","-2.5","55.936","63.3206","70.837","33.65184","48.98113","2.76056","38.92625","55.936","9.3","9.3","0",""
"CPALL.BK","CP All PCL","607408","36.1","55.918","74.4846","48.956","44.31198","100","100","56.94157","55.918","64.25","65.25","1.56",""
