"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"EDAP","EDAP TMS SA","3851837","45.05","67.048","88.3122","65.561","47.26977","21.575805","31.16094","52.89595","67.048","14.84","72.451","-7.46","10.16","9.96","-1.97",""
"VRDN","Viridian Therapeutics Inc","6526623","13","67.041","90.294","63.083","47.74674","19.94018","0","58.12215","67.041","6.02","68.27","-1.8","23.79","24.38","2.48",""
"CARS","Cars.com Inc","5384818641","58.75","67.017","89.8908","60.388","50.7731","50","100","46.32681","67.017","1.73","64.201","4.39","17.85","18.7","4.76",""
"EEIQ","Elite Education Group International Ltd","112375590","50","66.949","64.9625","90.394","45.48939","8.668215","0","56.61051","66.949","223.53","69.112","-3.13","2.15","2.09","-2.79",""
"FLNG","FLEX LNG Ltd","11343145","49.45","66.948","84.4785","64.663","51.70338","50","83.46579","53.88969","66.948","1.05","66.96","-0.02","30.63","30.87","0.78",""
"LIN","LINDE PLC ORD","400082507","31","66.895","80.8566","67.185","52.64252","87.719975","99.39596","57.6456","66.895","2.38","65.719","1.79","357.12","360.47","0.94",""
"LSCC","Lattice Semiconductor Corporation","44062999","100","66.876","88.8491","59.841","51.93693","65.682145","100","59.75719","66.876","1.72","67.275","-0.59","78","79.55","1.99",""
"CCVI","Churchill Capital VI Corp","2440653","50","66.861","91.8249","72.766","35.99093","92.442595","100","63.79176","66.861","1.28","63.743","4.89","10.21","10.26","0.49",""
"PEN","Penumbra Inc","2793630","71.75","66.847","84.9627","63.511","52.06603","50","100","52.10269","66.847","17.53","64.651","3.4","304.94","320.86","5.22",""
"TRHC","Tabula Rasa HealthCare Inc","453358","50","66.841","67.8785","86.274","46.36906","45.513","11.53266","55.17873","66.841","15.58","67.35","-0.76","5.21","5.57","6.91",""
"GRBK","Green Brick Partners Inc","166857792","100","66.829","89.8298","60.465","50.19266","50","100","66.67344","66.829","44.99","64.917","2.95","48.51","51.14","5.42",""
"ATI","Allegheny Technologies Incorporated","1638221","100","66.772","89.0932","58.958","52.26509","50","89.84369","56.10208","66.772","1.33","69.538","-3.98","35.68","38.78","8.69",""
"WVE","Wave Life Sciences Ltd","260245533","90.6","66.766","80.0721","72.545","47.67972","40.42478","8.01571","55.41788","66.766","4.95","66.51","0.38","3.78","4.55","20.37",""
"RXDX","Prometheus Biosciences Inc","1989297","-26.8","66.764","99.8","50.423","50.0675","75.282385","77.68116","70.66536","66.764","2.56","66.862","-0.15","198.61","198.83","0.11",""
"FICO","Fair Isaac Corporation","68638588","29.85","66.684","94.3011","53.354","52.39813","67.05034","99.89757","42.61248","66.684","13.07","70.308","-5.15","774.79","790.84","2.07",""
